STT,Văn kiện,Link drive
1,DỰ THẢO VĂN KIỆN ĐẠI HỘI VIII,https://drive.google.com/file/d/1aZyDSAPdJm7QbYaLBAZb1jNst_lUnZJ6/view?usp=drive_link
2,TRÍCH NGANG LÝ LỊCH BAN CHẤP HÀNH,https://drive.google.com/file/d/1z0ytOG_1i4O_q_IJehgFmP8re5vU-wUZ/view?usp=drive_link
3,TRÍCH NGANG LÝ LỊCH ĐẠI BIỂU CHÍNH THỨC DỰ ĐẠI HỘI HSV TRƯỜNG,https://drive.google.com/file/d/109IkQ0U6249t_PmmkT_nHoXZv_4yI1qI/view?usp=drive_link
4,TRÍCH NGANG LÝ LỊCH ĐẠI BIỂU DỰ KHUYẾT DỰ ĐẠI HỘI HSV TRƯỜNG,https://drive.google.com/file/d/1K-Ai0sz3-iv3bkaQy-ni2X1NkCpL7jPp/view?usp=drive_link
